Date,Spot,Futures
2002-02-01,1106.73,1106.9
2002-03-01,1147.39,1149.2
2002-04-01,1076.92,1077.2
2002-05-01,1067.14,1067.5
2002-06-01,989.82,990.1
2002-07-01,911.62,911.5
2002-08-01,916.07,916.1
2002-09-01,815.28,815.0
2002-10-01,885.76,885.4
2002-11-01,936.31,936.0
2002-12-01,879.82,878.9
2003-01-01,855.7,854.7
2003-02-01,841.15,840.9
2003-03-01,848.18,847.0
2003-04-01,916.92,916.1
2003-05-01,963.59,963.3
2003-06-01,974.5,973.3
2003-07-01,990.31,989.3
2003-08-01,1008.01,1007.7
2003-09-01,995.97,994.1
2003-10-01,1050.71,1049.5
2003-11-01,1058.2,1057.8
2003-12-01,1111.92,1110.6
2004-01-01,1131.13,1129.9
2004-02-01,1144.94,1144.6
2004-03-01,1126.21,1124.9
2004-04-01,1107.3,1106.1
2004-05-01,1120.68,1120.3
2004-06-01,1140.84,1140.4
2004-07-01,1101.72,1101.1
2004-08-01,1104.24,1104.1
2004-09-01,1114.58,1114.9
2004-10-01,1130.2,1130.3
2004-11-01,1173.82,1174.1
2004-12-01,1211.92,1213.7
2005-01-01,1181.27,1181.7
2005-02-01,1203.6,1204.1
2005-03-01,1180.59,1183.9
2005-04-01,1156.85,1158.5
2005-05-01,1191.5,1192.3
2005-06-01,1191.33,1195.5
2005-07-01,1234.18,1236.8
2005-08-01,1220.33,1221.4
2005-09-01,1228.81,1234.3
2005-10-01,1207.01,1209.8
2005-11-01,1249.48,1251.1
2005-12-01,1248.29,1254.8
2006-01-01,1280.08,1283.6
2006-02-01,1280.66,1282.4
2006-03-01,1294.87,1303.3
2006-04-01,1310.61,1315.9
2006-05-01,1270.09,1272.1
2006-06-01,1270.2,1279.4
2006-07-01,1276.66,1281.8
2006-08-01,1303.82,1305.6
2006-09-01,1335.85,1345.4
2006-10-01,1377.94,1383.2
2006-11-01,1400.63,1402.9
2006-12-01,1418.3,1428.4
2007-01-01,1438.24,1443.0
2007-02-01,1406.82,1408.9
2007-03-01,1420.86,1431.2
2007-04-01,1482.37,1488.4
2007-05-01,1530.62,1532.9
2007-06-01,1504.66,1515.4
2007-07-01,1455.18,1461.9
2007-08-01,1473.96,1476.7
2007-09-01,1527.29,1538.1
2007-10-01,1545.79,1554.9
2007-11-01,1479.63,1483.7
2007-12-01,1467.97,1477.2
2008-01-01,1378.6,1379.6
2008-02-01,1330.45,1331.3
2008-03-01,1326.41,1324.0
2008-04-01,1385.97,1386.0
2008-05-01,1399.62,1400.6
2008-06-01,1276.69,1281.1
2008-07-01,1269.42,1267.1
2008-08-01,1287.83,1282.6
2008-09-01,1164.17,1167.4
2008-10-01,968.67,967.3
2008-11-01,888.61,895.3
2008-12-01,902.99,900.1
2009-01-01,823.09,822.5
2009-02-01,729.57,734.2
2009-03-01,793.59,794.8
2009-04-01,872.74,870.0
2009-05-01,923.26,918.1
2009-06-01,920.82,915.5
2009-07-01,990.22,984.4
2009-08-01,1019.52,1019.7
2009-09-01,1054.91,1052.9
2009-10-01,1036.18,1033.0
2009-11-01,1098.89,1094.8
2009-12-01,1116.56,1110.7
2010-01-01,1073.89,1070.4
2010-02-01,1105.36,1103.4
2010-03-01,1171.23,1165.2
2010-04-01,1188.58,1183.4
2010-05-01,1087.3,1088.5
2010-06-01,1031.1,1026.6
2010-07-01,1107.53,1098.3
2010-08-01,1049.72,1048.3
2010-09-01,1143.49,1136.7
2010-10-01,1185.71,1179.7
2010-11-01,1186.6,1179.6
2010-12-01,1257.62,1253.0
2011-01-01,1289.14,1282.4
2011-02-01,1328.64,1326.1
2011-03-01,1329.48,1321.0
2011-04-01,1365.21,1359.7
2011-05-01,1345.2,1343.9
2011-06-01,1320.64,1315.5
2011-07-01,1292.59,1288.4
2011-08-01,1219.12,1217.7
2011-09-01,1131.21,1126.0
2011-10-01,1251.0,1249.3
2011-11-01,1246.91,1246.0
2011-12-01,1258.86,1252.6
2012-01-01,1312.45,1308.2
2012-02-01,1365.9,1364.4
2012-03-01,1408.47,1403.2
2012-04-01,1397.86,1393.6
2012-05-01,1309.87,1309.2
2012-06-01,1362.33,1356.4
2012-07-01,1379.32,1374.6
2012-08-01,1406.54,1405.1
2012-09-01,1440.9,1434.2
2012-10-01,1412.2,1406.8
2012-11-01,1416.34,1414.4
2012-12-01,1426.19,1420.1
2013-01-01,1498.11,1493.3
2013-02-01,1514.68,1513.3
2013-03-01,1569.18,1562.7
2013-04-01,1597.55,1592.2
