Date,Month,Milk
1995-01-31,1,589
1995-02-28,2,561
1995-03-31,3,640
1995-04-30,4,656
1995-05-31,5,727
1995-06-30,6,697
1995-07-31,7,640
1995-08-31,8,599
1995-09-30,9,568
1995-10-31,10,577
1995-11-30,11,553
1995-12-31,12,582
1996-01-31,13,600
1996-02-29,14,566
1996-03-31,15,653
1996-04-30,16,673
1996-05-31,17,742
1996-06-30,18,716
1996-07-31,19,660
1996-08-31,20,617
1996-09-30,21,583
1996-10-31,22,587
1996-11-30,23,565
1996-12-31,24,598
1997-01-31,25,628
1997-02-28,26,618
1997-03-31,27,688
1997-04-30,28,705
1997-05-31,29,770
1997-06-30,30,736
1997-07-31,31,678
1997-08-31,32,639
1997-09-30,33,604
1997-10-31,34,611
1997-11-30,35,594
1997-12-31,36,634
1998-01-31,37,658
1998-02-28,38,622
1998-03-31,39,709
1998-04-30,40,722
1998-05-31,41,782
1998-06-30,42,756
1998-07-31,43,702
1998-08-31,44,653
1998-09-30,45,615
1998-10-31,46,621
1998-11-30,47,602
1998-12-31,48,635
1999-01-31,49,677
1999-02-28,50,635
1999-03-31,51,736
1999-04-30,52,755
1999-05-31,53,811
1999-06-30,54,798
1999-07-31,55,735
1999-08-31,56,697
1999-09-30,57,661
1999-10-31,58,667
1999-11-30,59,645
1999-12-31,60,688
2000-01-31,61,713
2000-02-29,62,667
2000-03-31,63,762
2000-04-30,64,784
2000-05-31,65,837
2000-06-30,66,817
2000-07-31,67,767
2000-08-31,68,722
2000-09-30,69,681
2000-10-31,70,687
2000-11-30,71,660
2000-12-31,72,698
2001-01-31,73,717
2001-02-28,74,696
2001-03-31,75,775
2001-04-30,76,796
2001-05-31,77,858
2001-06-30,78,826
2001-07-31,79,783
2001-08-31,80,740
2001-09-30,81,701
2001-10-31,82,706
2001-11-30,83,677
2001-12-31,84,711
2002-01-31,85,734
2002-02-28,86,690
2002-03-31,87,785
2002-04-30,88,805
2002-05-31,89,871
2002-06-30,90,845
2002-07-31,91,801
2002-08-31,92,764
2002-09-30,93,725
2002-10-31,94,723
2002-11-30,95,690
2002-12-31,96,734
2003-01-31,97,750
2003-02-28,98,707
2003-03-31,99,807
2003-04-30,100,824
2003-05-31,101,886
2003-06-30,102,859
2003-07-31,103,819
2003-08-31,104,783
2003-09-30,105,740
2003-10-31,106,747
2003-11-30,107,711
2003-12-31,108,751
2004-01-31,109,804
2004-02-29,110,756
2004-03-31,111,860
2004-04-30,112,878
2004-05-31,113,942
2004-06-30,114,913
2004-07-31,115,869
2004-08-31,116,834
2004-09-30,117,790
2004-10-31,118,800
2004-11-30,119,763
2004-12-31,120,800
2005-01-31,121,826
2005-02-28,122,799
2005-03-31,123,890
2005-04-30,124,900
2005-05-31,125,961
2005-06-30,126,935
2005-07-31,127,894
2005-08-31,128,855
2005-09-30,129,809
2005-10-31,130,810
2005-11-30,131,766
2005-12-31,132,805
2006-01-31,133,821
2006-02-28,134,773
2006-03-31,135,883
2006-04-30,136,898
2006-05-31,137,957
2006-06-30,138,924
2006-07-31,139,881
2006-08-31,140,837
2006-09-30,141,784
2006-10-31,142,791
2006-11-30,143,760
2006-12-31,144,802
2007-01-31,145,828
2007-02-28,146,778
2007-03-31,147,889
2007-04-30,148,902
2007-05-31,149,969
2007-06-30,150,947
2007-07-31,151,908
2007-08-31,152,867
2007-09-30,153,815
2007-10-31,154,812
2007-11-30,155,773
2007-12-31,156,813
2008-01-31,157,834
2008-02-29,158,782
2008-03-31,159,892
2008-04-30,160,903
2008-05-31,161,966
2008-06-30,162,937
2008-07-31,163,896
2008-08-31,164,858
2008-09-30,165,817
2008-10-31,166,827
2008-11-30,167,797
2008-12-31,168,843
